a) Nilo; b) Mississippi; c) Amazonas;
a) 10.356m; b) 11.034 m; c) 9.894 m;
a) Noruega; b) Rusia; c) Canadá;
a) Italia; b)	España; c) Grecia;
a) Griego; b)	Islandés; c) Vasco;
a) Londres; b) Barcelona; c) París;
a) Torre de Pissa; b) La Gran Pirámide de Guiza; c) Home Inssurance Building;
a) Arabia Saudi; b) EEUU; c) Venezuela;
a) Albert Einstein; b) Marie Curie; c) Alexander Fleming;
a) Real Madrid, Atlético de Madrid, Barcelona; b) Real Madrid, Sevilla, Barcelona; c) Real Madrid, Athletic de Bilbao, Barcelona;
a) 27; b) 29; c) 26;
a) Un torero; b) Un guitarrista: c) Un escritor;
a) Cristiano Ronaldo, Messi, Neymar; b) Michael Jordan, Magic Jhonson, LeBron James; c) Rafa Nadal, Roger Federer, Novak Djokovic;
a) Oxford; b) Universidad de Salamanca; c) Universidad de Bolonia;
a) 1815; b) 1212; c) 1097;
a) Un avión comercial supersónico; b) Un satélite; c) El primer cohete lanzado por la UE;
a) Una formación militar; b) Un hueso de los dedos del pie; c) Ambas son incorrectas;
a) Francia; b) Inglaterra; c) España;
a) Felipe III; b) Felipe II; c) Carlos I;
a) José Luís Rodríguez Zapatero; b) Mariano Rajoy; c) Felipe González;
a) Mozart; b) Bach; c) Beethoven;
a) Baby Shark Dance; b) Despacito; c) Shape of you;
a) Goya; b) Velázquez; c) Miguel Ángel;
a) 7; b) 5; c) 4;
a) La gran cantidad de arena; b) La presencia de hierro; c) Los gases de azufre presentes en su atmosfera;
a) Erwin Schrödinger; b) Albert Einstein; c) Stephen Hawking;
a) Juan Ramon Jiménez; b) Antonio Machado; c) Quevedo;
a) 8; b) 2; c) Ninguno;
a) Sep/1519 – Sep/1522; b) Feb/1906 – Ago/1906, c) May/1825 – Abr/1826;
a) Neil Armstrong, Buzz Aldrin, Michaels Collins; b) Neil Armstrong, Michael Aldrin, Buzz Collins; c) Ninguna de las dos son correctas, a la Luna se llegó 21 de Junio de 1979;
